topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms,_id,source
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2127507}",2025-09-02 06:59:14.791431+00:00,0.2441,0.061,-0.4883,2127507,68b695c2125e75235a24349e,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2128507}",2025-09-02 06:59:15.819748+00:00,0.2441,0.061,-0.4883,2128507,68b695c3125e75235a24349f,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2132507}",2025-09-02 06:59:19.804735+00:00,0.1831,0.061,-0.4883,2132507,68b695c7125e75235a2434a3,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2133507}",2025-09-02 06:59:20.832052+00:00,0.1831,0.0,-0.4883,2133507,68b695c8125e75235a2434a4,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2137507}",2025-09-02 06:59:24.930146+00:00,0.1831,0.061,-0.5493,2137507,68b695cc125e75235a2434a7,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2138507}",2025-09-02 06:59:25.746730+00:00,0.1831,0.0,-0.4883,2138507,68b695cd125e75235a2434a8,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2142507}",2025-09-02 06:59:29.843902+00:00,0.1831,0.0,-0.4883,2142507,68b695d1125e75235a2434ab,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2143507}",2025-09-02 06:59:30.767787+00:00,0.1831,0.061,-0.5493,2143507,68b695d2125e75235a2434ac,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2147507}",2025-09-02 06:59:34.760051+00:00,0.1831,0.061,-0.4883,2147507,68b695d6125e75235a2434af,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2148507}",2025-09-02 06:59:35.789722+00:00,0.1831,0.061,-0.4883,2148507,68b695d7125e75235a2434b0,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2152507}",2025-09-02 06:59:39.880025+00:00,0.1831,0.061,-0.4883,2152507,68b695db125e75235a2434b3,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2153507}",2025-09-02 06:59:40.799281+00:00,0.1831,0.0,-0.4883,2153507,68b695dc125e75235a2434b4,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2157507}",2025-09-02 06:59:44.703721+00:00,0.1831,0.061,-0.4883,2157507,68b695e0125e75235a2434b7,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2158507}",2025-09-02 06:59:45.812742+00:00,0.1831,0.0,-0.5493,2158507,68b695e1125e75235a2434b8,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2162507}",2025-09-02 06:59:49.916686+00:00,0.2441,0.061,-0.5493,2162507,68b695e5125e75235a2434bb,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2163507}",2025-09-02 06:59:50.847241+00:00,0.1831,0.0,-0.4883,2163507,68b695e6125e75235a2434bc,tinydb
sit225/gyroscope,"{""gx"":0.3052,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2167507}",2025-09-02 06:59:54.830080+00:00,0.3052,0.061,-0.5493,2167507,68b695ea125e75235a2434bf,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2168507}",2025-09-02 06:59:55.947867+00:00,0.1831,0.0,-0.5493,2168507,68b695eb125e75235a2434c0,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2173507}",2025-09-02 07:00:00.767125+00:00,0.1831,0.061,-0.4883,2173507,68b695f0125e75235a2434c3,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2174507}",2025-09-02 07:00:01.797259+00:00,0.1831,0.061,-0.4883,2174507,68b695f1125e75235a2434c4,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2175507}",2025-09-02 07:00:02.815687+00:00,0.1831,0.061,-0.4883,2175507,68b695f2125e75235a2434c5,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2179507}",2025-09-02 07:00:06.913849+00:00,0.1831,0.061,-0.4883,2179507,68b695f6125e75235a2434c8,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2180507}",2025-09-02 07:00:07.834766+00:00,0.2441,0.061,-0.4883,2180507,68b695f7125e75235a2434c9,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2184507}",2025-09-02 07:00:11.826645+00:00,0.2441,0.0,-0.4883,2184507,68b695fb125e75235a2434cd,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.1221,""gz"":-0.4883,""t_device_ms"":2185507}",2025-09-02 07:00:12.749602+00:00,0.2441,0.1221,-0.4883,2185507,68b695fc125e75235a2434ce,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2189507}",2025-09-02 07:00:16.844500+00:00,0.2441,0.061,-0.5493,2189507,68b69600125e75235a2434d2,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2190507}",2025-09-02 07:00:17.763740+00:00,0.1831,0.0,-0.4883,2190507,68b69601125e75235a2434d3,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2194507}",2025-09-02 07:00:21.863013+00:00,0.2441,0.061,-0.5493,2194507,68b69605125e75235a2434d6,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2195507}",2025-09-02 07:00:22.893989+00:00,0.1831,0.0,-0.4883,2195507,68b69606125e75235a2434d7,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2200507}",2025-09-02 07:00:27.801427+00:00,0.2441,0.0,-0.4883,2200507,68b6960b125e75235a2434da,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2201507}",2025-09-02 07:00:28.823287+00:00,0.1831,0.0,-0.4883,2201507,68b6960c125e75235a2434db,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2205507}",2025-09-02 07:00:32.922436+00:00,0.1831,0.061,-0.4883,2205507,68b69610125e75235a2434de,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2206507}",2025-09-02 07:00:33.946656+00:00,0.2441,0.0,-0.4883,2206507,68b69611125e75235a2434df,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2210507}",2025-09-02 07:00:37.837805+00:00,0.2441,0.061,-0.4883,2210507,68b69615125e75235a2434e3,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2211507}",2025-09-02 07:00:38.861141+00:00,0.2441,0.0,-0.4883,2211507,68b69616125e75235a2434e4,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2215507}",2025-09-02 07:00:42.649233+00:00,0.1831,0.0,-0.4883,2215507,68b6961a125e75235a2434e7,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2216507}",2025-09-02 07:00:43.672762+00:00,0.1831,0.0,-0.5493,2216507,68b6961b125e75235a2434e8,tinydb
