time,value
2025-09-09T03:12:17.557738692Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:18.587219726Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:19.621949043Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:20.627002683Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:21.660018394Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:22.659108063Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:23.675080128Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:24.66818782Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:25.698203699Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:26.951758833Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:27.75910065Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:28.749795311Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:29.745211392Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:30.748877362Z,"{""lat"":-37.848004,""lon"":145.1142888}"
2025-09-09T03:12:31.75665516Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:32.767149052Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:33.778201518Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:34.791938822Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:35.818298576Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:36.843783275Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:37.870775213Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:38.855286674Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:39.867060517Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:40.895228503Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:41.943883662Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:42.91110857Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:43.925772621Z,"{""lat"":-37.8480005,""lon"":145.1142873}"
2025-09-09T03:12:44.943834719Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:45.963964291Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:46.947111569Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:47.965156557Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:48.955914092Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:49.974879397Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:51.008139835Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:52.014893199Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:53.016027225Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:54.295174316Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:55.027000935Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:56.042066282Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:57.064246122Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:58.066049806Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:12:59.074796862Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:13:00.093749449Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:13:01.120033478Z,"{""lat"":-37.8480123,""lon"":145.1142719}"
2025-09-09T03:13:02.116099483Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:03.128979644Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:04.177070737Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:05.185892014Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:06.208033676Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:07.167104893Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:08.186203285Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:09.207183557Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:10.223121187Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:11.237038104Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:12.366283562Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:14.366016765Z,"{""lat"":-37.8480071,""lon"":145.1142864}"
2025-09-09T03:13:15.424767873Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:16.452079795Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:17.384879775Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:18.428058944Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:19.489386585Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:20.415503627Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:21.525839826Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:22.464050136Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
