_id,topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms
68ad6e998fa4330d3d2c0d2b,sit225/gyroscope,"{""gx"":0.9766,""gy"":1.8311,""gz"":0.7935,""t_device_ms"":1391265}",2025-08-26T08:21:45.567874+00:00,0.9766,1.8311,0.7935,1391265
68ad6e9b8fa4330d3d2c0d2c,sit225/gyroscope,"{""gx"":0.2441,""gy"":1.2207,""gz"":-0.3662,""t_device_ms"":1392265}",2025-08-26T08:21:47.001059+00:00,0.2441,1.2207,-0.3662,1392265
68ad6e9c8fa4330d3d2c0d2d,sit225/gyroscope,"{""gx"":0.1831,""gy"":-0.3662,""gz"":-0.4272,""t_device_ms"":1393265}",2025-08-26T08:21:48.087482+00:00,0.1831,-0.3662,-0.4272,1393265
68ad6e9d8fa4330d3d2c0d2e,sit225/gyroscope,"{""gx"":0.6714,""gy"":0.7935,""gz"":-0.3662,""t_device_ms"":1394265}",2025-08-26T08:21:49.335367+00:00,0.6714,0.7935,-0.3662,1394265
68ad6e9d8fa4330d3d2c0d2f,sit225/gyroscope,"{""gx"":-0.4272,""gy"":-1.4648,""gz"":0.3052,""t_device_ms"":1395265}",2025-08-26T08:21:49.774976+00:00,-0.4272,-1.4648,0.3052,1395265
68ad6e9f8fa4330d3d2c0d30,sit225/gyroscope,"{""gx"":0.7324,""gy"":1.1597,""gz"":-0.7324,""t_device_ms"":1396265}",2025-08-26T08:21:51.521114+00:00,0.7324,1.1597,-0.7324,1396265
68ad6e9f8fa4330d3d2c0d31,sit225/gyroscope,"{""gx"":0.1831,""gy"":-0.0610,""gz"":0.6104,""t_device_ms"":1397265}",2025-08-26T08:21:51.577236+00:00,0.1831,-0.061,0.6104,1397265
68ad6ea08fa4330d3d2c0d32,sit225/gyroscope,"{""gx"":0.1221,""gy"":0.4272,""gz"":0.4272,""t_device_ms"":1398265}",2025-08-26T08:21:52.938990+00:00,0.1221,0.4272,0.4272,1398265
68ad6ea18fa4330d3d2c0d33,sit225/gyroscope,"{""gx"":-1.0376,""gy"":0.0000,""gz"":0.4883,""t_device_ms"":1399265}",2025-08-26T08:21:53.973197+00:00,-1.0376,0.0,0.4883,1399265
68ad6ea38fa4330d3d2c0d34,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":0.0000,""t_device_ms"":1400265}",2025-08-26T08:21:55.019866+00:00,0.1831,0.061,0.0,1400265
68ad6ea48fa4330d3d2c0d35,sit225/gyroscope,"{""gx"":0.9766,""gy"":0.9766,""gz"":-0.5493,""t_device_ms"":1401265}",2025-08-26T08:21:56.053439+00:00,0.9766,0.9766,-0.5493,1401265
68ad6ea48fa4330d3d2c0d36,sit225/gyroscope,"{""gx"":0.1221,""gy"":-0.1221,""gz"":-0.3662,""t_device_ms"":1402265}",2025-08-26T08:21:56.869929+00:00,0.1221,-0.1221,-0.3662,1402265
