Timestamp,X,Y,Z
20250804-233848,0.183,0.0,-0.427
20250804-233849,0.183,0.0,-0.488
20250804-233850,0.122,0.0,-0.427
20250804-233851,0.183,0.0,-0.427
20250804-233852,0.183,0.0,-0.427
20250804-233853,0.183,0.0,-0.488
20250804-233854,0.183,0.0,-0.488
20250804-233855,0.183,0.0,-0.488
20250804-233856,0.183,0.061,-0.488
20250804-233857,0.244,0.0,-0.427
20250804-233858,0.183,0.0,-0.427
20250804-233859,0.183,0.0,-0.488
20250804-233900,0.183,0.0,-0.488
20250804-233901,0.183,0.0,-0.488
20250804-233902,0.183,0.0,-0.488
20250804-233903,0.183,0.0,-0.427
20250804-233904,0.183,0.0,-0.488
20250804-233905,0.183,0.0,-0.427
20250804-233906,0.244,0.0,-0.488
20250804-233907,0.061,-0.122,-0.488
20250804-233908,0.122,-0.122,-0.427
20250804-233909,0.427,0.0,-0.427
20250804-233910,0.183,0.061,-0.427
20250804-233911,0.183,0.0,-0.488
20250804-233912,0.183,0.0,-0.427
20250804-233913,0.183,0.0,-0.427
20250804-233914,0.183,0.0,-0.488
20250804-233915,-0.488,-0.061,-0.61
20250804-233916,0.671,-0.061,-0.183
20250804-233917,5.127,0.61,1.77
20250804-233918,0.793,-0.122,-0.427
20250804-233919,0.183,0.0,-0.427
20250804-233920,0.244,0.0,-0.427
20250804-233921,0.244,0.061,-0.427
20250804-233922,0.0,0.0,-0.488
20250804-233923,0.061,0.0,-0.427
20250804-233924,0.0,0.061,-0.488
20250804-233925,0.122,0.0,-0.488
20250804-233926,0.061,0.0,-0.427
20250804-233927,0.122,0.0,-0.488
20250804-233928,0.183,-0.061,-0.488
20250804-233929,0.244,0.0,-0.488
20250804-233930,-0.122,0.0,-0.549
20250804-233931,0.244,-0.061,-0.427
20250804-233932,0.122,0.0,-0.488
20250804-233933,0.122,-0.061,-0.488
20250804-233935,0.0,-0.122,-0.549
20250804-233938,0.061,0.183,-0.427
20250804-233940,0.366,0.0,-0.427
20250804-233941,1.343,0.122,-0.427
20250804-233942,0.122,0.0,-0.488
20250804-233943,0.061,0.0,-0.427
20250804-233944,0.0,0.0,-0.549
20250804-233945,0.0,0.0,-0.488
20250804-233946,0.305,0.0,-0.488
20250804-233947,0.305,0.0,-0.427
20250804-233948,0.427,0.0,-0.427
20250804-233949,0.305,0.0,-0.427
20250804-233950,0.305,0.061,-0.427
20250804-233951,0.427,0.0,-0.427
20250804-233952,0.366,0.0,-0.427
20250804-233953,1.221,0.366,0.0
20250804-233954,0.488,0.0,-0.427
20250804-233955,-0.122,-0.122,-0.549
20250804-233956,-0.122,0.0,-0.549
20250804-233957,0.61,0.061,-0.549
20250804-233958,-0.916,0.366,-0.244
20250804-233959,-0.488,-0.183,-0.549
20250804-234000,0.183,0.0,-0.488
20250804-234001,0.183,0.061,-0.488
20250804-234002,2.197,0.366,0.0
20250804-234003,0.732,0.305,-0.305
20250804-234004,0.061,-0.061,-0.61
20250804-234005,0.183,0.0,-0.427
20250804-234006,0.122,0.0,-0.488
20250804-234007,-1.892,-0.305,-1.16
20250804-234008,1.892,0.549,-0.427
20250804-234009,0.183,0.0,-0.427
20250804-234010,0.183,0.0,-0.488
20250804-234011,0.183,0.0,-0.488
20250804-234012,0.122,0.0,-0.488
20250804-234013,0.183,0.0,-0.488
20250804-234014,0.183,0.0,-0.488
20250804-234015,0.183,0.0,-0.427
20250804-234016,0.183,0.0,-0.488
20250804-234017,0.183,0.0,-0.488
20250804-234018,0.122,0.0,-0.488
20250804-234019,0.183,0.0,-0.488
20250804-234020,0.183,0.061,-0.427
20250804-234021,0.183,0.0,-0.427
20250804-234022,0.183,0.0,-0.488
20250804-234023,0.183,0.0,-0.427
20250804-234024,0.183,0.0,-0.488
20250804-234025,0.183,0.0,-0.488
20250804-234026,0.244,0.0,-0.488
20250804-234027,0.122,0.0,-0.488
20250804-234028,0.183,0.0,-0.488
20250804-234029,0.183,0.0,-0.488
20250804-234030,0.183,0.0,-0.488
20250804-234031,0.183,0.061,-0.427
20250804-234032,0.183,0.0,-0.488
20250804-234033,0.122,0.0,-0.427
20250804-234034,0.183,0.061,-0.427
20250804-234035,0.183,0.0,-0.427
20250804-234036,0.183,0.0,-0.488
20250804-234037,0.183,0.0,-0.488
20250804-234038,0.183,0.061,-0.488
20250804-234039,0.122,0.0,-0.427
20250804-234040,0.183,0.0,-0.427
20250804-234041,0.122,0.0,-0.488
20250804-234042,0.183,0.0,-0.488
20250804-234043,0.183,0.0,-0.488
20250804-234044,0.183,0.0,-0.427
20250804-234045,0.183,0.0,-0.488
20250804-234046,-0.244,-0.061,-0.549
20250804-234047,0.366,0.305,-0.366
20250804-234048,1.404,0.427,-0.061
20250804-234049,0.244,0.0,-0.366
20250804-234050,0.244,-0.061,-0.366
20250804-234051,0.183,0.0,-0.427
20250804-234052,0.183,0.0,-0.488
20250804-234053,0.183,0.0,-0.488
20250804-234054,0.183,0.0,-0.488
20250804-234055,0.183,0.0,-0.427
20250804-234056,0.183,0.0,-0.427
20250804-234057,0.183,0.0,-0.427
20250804-234058,0.183,0.0,-0.488
20250804-234059,0.244,0.0,-0.488
20250804-234100,0.244,0.0,-0.427
20250804-234101,0.183,0.0,-0.427
20250804-234102,0.183,0.0,-0.488
20250804-234103,0.122,0.0,-0.427
20250804-234104,0.183,0.0,-0.488
20250804-234105,0.183,0.0,-0.488
20250804-234106,0.366,0.0,-0.488
20250804-234107,0.122,0.0,-0.427
20250804-234108,0.183,0.0,-0.488
20250804-234109,0.183,0.0,-0.427
20250804-234110,0.183,0.0,-0.488
20250804-234111,0.183,0.0,-0.488
20250804-234112,0.183,0.0,-0.488
20250804-234113,0.183,0.0,-0.488
20250804-234114,0.183,0.0,-0.488
20250804-234115,0.183,0.0,-0.488
20250804-234116,0.122,0.0,-0.488
20250804-234117,0.183,0.0,-0.427
20250804-234118,0.183,0.0,-0.488
20250804-234119,0.183,0.0,-0.488
20250804-234120,0.183,0.0,-0.488
20250804-234121,0.183,0.0,-0.488
20250804-234122,0.183,0.0,-0.488
20250804-234123,0.183,0.0,-0.488
20250804-234124,0.183,0.0,-0.488
20250804-234125,0.183,0.0,-0.427
20250804-234126,0.183,0.0,-0.488
20250804-234127,0.122,0.0,-0.488
20250804-234128,0.183,0.0,-0.488
20250804-234129,0.183,0.0,-0.427
20250804-234130,0.122,0.0,-0.427
20250804-234131,0.122,0.061,-0.427
20250804-234132,0.244,0.061,-0.427
20250804-234133,0.122,0.0,-0.488
20250804-234137,0.122,0.0,-0.488
20250804-234138,0.183,0.0,-0.488
20250804-234139,0.122,0.0,-0.427
20250804-234140,-1.16,-0.183,-0.671
20250804-234141,0.183,0.0,-0.427
20250804-234142,0.122,-15.381,-0.427
20250804-234143,-2.686,-1.038,-1.526
20250804-234144,0.183,0.061,-0.427
20250804-234145,0.122,0.0,-0.488
20250804-234146,0.244,0.0,-0.488
20250804-234147,2.93,0.671,0.183
20250804-234148,0.732,0.183,-0.549
20250804-234149,-0.549,0.122,-0.61
20250804-234150,0.183,0.0,-0.427
20250804-234151,0.183,0.0,-0.488
20250804-234152,0.183,0.0,-0.488
20250804-234153,0.183,0.061,-0.427
20250804-234154,0.122,-0.061,-0.427
20250804-234155,0.183,0.0,-0.488
20250804-234156,0.183,0.0,-0.488
20250804-234157,0.183,0.0,-0.427
20250804-234158,0.183,0.0,-0.427
